Step 106 | Time: 1.767s | Pos: (471.1, 147.9) | Vel: (89.3, -247.8) | Orient: -0.45 rad | AngVel: 2.06 | Speed: 263.4 | DistToTarget: 85.5 | Colliding: False | NearestObstacle: 148.6
Step 107 | Time: 1.783s | Pos: (472.8, 143.9) | Vel: (97.1, -243.7) | Orient: -0.42 rad | AngVel: 2.14 | Speed: 262.3 | DistToTarget: 82.3 | Colliding: False | NearestObstacle: 148.7
Step 108 | Time: 1.800s | Pos: (474.5, 139.9) | Vel: (104.8, -239.1) | Orient: -0.38 rad | AngVel: 2.21 | Speed: 261.1 | DistToTarget: 79.2 | Colliding: False | NearestObstacle: 148.7
Step 109 | Time: 1.817s | Pos: (476.4, 136.0) | Vel: (112.5, -234.1) | Orient: -0.34 rad | AngVel: 2.30 | Speed: 259.7 | DistToTarget: 76.1 | Colliding: False | NearestObstacle: 148.7
Step 110 | Time: 1.833s | Pos: (478.4, 132.2) | Vel: (120.1, -228.6) | Orient: -0.30 rad | AngVel: 2.39 | Speed: 258.2 | DistToTarget: 73.0 | Colliding: False | NearestObstacle: 148.7
Step 111 | Time: 1.850s | Pos: (480.5, 128.5) | Vel: (127.5, -222.5) | Orient: -0.26 rad | AngVel: 2.49 | Speed: 256.5 | DistToTarget: 69.9 | Colliding: False | NearestObstacle: 148.6
Step 112 | Time: 1.867s | Pos: (482.8, 124.9) | Vel: (134.8, -216.0) | Orient: -0.22 rad | AngVel: 2.59 | Speed: 254.6 | DistToTarget: 66.9 | Colliding: False | NearestObstacle: 148.4
Step 113 | Time: 1.883s | Pos: (485.1, 121.4) | Vel: (141.9, -208.9) | Orient: -0.17 rad | AngVel: 2.70 | Speed: 252.5 | DistToTarget: 63.9 | Colliding: False | NearestObstacle: 148.2
Step 114 | Time: 1.900s | Pos: (487.6, 118.0) | Vel: (148.8, -201.2) | Orient: -0.13 rad | AngVel: 2.82 | Speed: 250.2 | DistToTarget: 61.0 | Colliding: False | NearestObstacle: 147.9
Step 115 | Time: 1.917s | Pos: (490.2, 114.8) | Vel: (155.4, -192.9) | Orient: -0.08 rad | AngVel: 2.95 | Speed: 247.7 | DistToTarget: 58.1 | Colliding: False | NearestObstacle: 147.6
Step 116 | Time: 1.933s | Pos: (492.9, 111.8) | Vel: (161.6, -183.9) | Orient: -0.03 rad | AngVel: 3.09 | Speed: 244.9 | DistToTarget: 55.3 | Colliding: False | NearestObstacle: 147.2
Step 117 | Time: 1.950s | Pos: (495.7, 108.9) | Vel: (167.5, -174.3) | Orient: 0.03 rad | AngVel: 3.23 | Speed: 241.7 | DistToTarget: 52.5 | Colliding: False | NearestObstacle: 146.6
Step 118 | Time: 1.967s | Pos: (498.6, 106.1) | Vel: (172.8, -164.0) | Orient: 0.08 rad | AngVel: 3.39 | Speed: 238.3 | DistToTarget: 49.8 | Colliding: False | NearestObstacle: 146.1
Step 119 | Time: 1.983s | Pos: (501.5, 103.6) | Vel: (177.6, -153.0) | Orient: 0.14 rad | AngVel: 3.55 | Speed: 234.4 | DistToTarget: 47.2 | Colliding: False | NearestObstacle: 145.4
Step 120 | Time: 2.000s | Pos: (504.5, 101.2) | Vel: (181.8, -141.2) | Orient: 0.21 rad | AngVel: 3.72 | Speed: 230.2 | DistToTarget: 44.6 | Colliding: False | NearestObstacle: 144.6
Step 121 | Time: 2.017s | Pos: (507.6, 99.1) | Vel: (185.1, -128.7) | Orient: 0.27 rad | AngVel: 3.90 | Speed: 225.5 | DistToTarget: 42.2 | Colliding: False | NearestObstacle: 143.7
Step 122 | Time: 2.033s | Pos: (510.8, 97.1) | Vel: (187.6, -115.4) | Orient: 0.34 rad | AngVel: 4.08 | Speed: 220.3 | DistToTarget: 39.8 | Colliding: False | NearestObstacle: 142.7
Step 123 | Time: 2.050s | Pos: (513.9, 95.5) | Vel: (189.0, -101.4) | Orient: 0.41 rad | AngVel: 4.27 | Speed: 214.5 | DistToTarget: 37.5 | Colliding: False | NearestObstacle: 141.6
Step 124 | Time: 2.067s | Pos: (517.1, 94.0) | Vel: (189.2, -86.7) | Orient: 0.48 rad | AngVel: 4.45 | Speed: 208.2 | DistToTarget: 35.3 | Colliding: False | NearestObstacle: 140.4
